name,domain,language,path,difficulty,time_estimate,stages,notes
btree,trees,python,python/advanced/btree.py,unknown,unknown,,
avl_tree,trees,python,python/advanced/avl_tree.py,unknown,unknown,,
lru_cache,hash-tables,python,python/advanced/lru_cache.py,unknown,unknown,,
graph,graphs,python,python/advanced/graph.py,unknown,unknown,,
bst,trees,python,python/advanced/bst.py,unknown,unknown,,
segment_tree,trees,python,python/advanced/segment_tree.py,unknown,unknown,,
union_find,graphs,python,python/advanced/union_find.py,unknown,unknown,,
fenwick_tree,trees,python,python/advanced/fenwick_tree.py,unknown,unknown,,
heap,heaps,python,python/advanced/heap.py,unknown,unknown,,
trie,trees,python,python/advanced/trie.py,unknown,unknown,,
lfu_cache,hash-tables,python,python/new_ds/lfu_cache.py,unknown,unknown,,
red_black_tree,trees,python,python/new_ds/red_black_tree.py,unknown,unknown,,
skip_list,trees,python,python/new_ds/skip_list.py,unknown,unknown,,
treap,trees,python,python/new_ds/treap.py,unknown,unknown,,
sparse_table,trees,python,python/new_ds/sparse_table.py,unknown,unknown,,
bloom_filter,bit-manipulation,python,python/new_ds/bloom_filter.py,unknown,unknown,,
transaction_ledger,design-patterns,python,python/system_design/transaction_ledger.py,unknown,unknown,,
factory_pattern,design-patterns,python,python/system_design/factory_pattern.py,unknown,unknown,,
photo_sharing,design-patterns,python,python/system_design/photo_sharing.py,unknown,unknown,,
like_comment_system,design-patterns,python,python/system_design/like_comment_system.py,unknown,unknown,,
lfu_cache,hash-tables,python,python/system_design/lfu_cache.py,unknown,unknown,,
parking_lot,design-patterns,python,python/system_design/parking_lot.py,unknown,unknown,,
lru_cache,hash-tables,python,python/system_design/lru_cache.py,unknown,unknown,,
leaderboard,design-patterns,python,python/system_design/leaderboard.py,unknown,unknown,,
saga_pattern,uncategorized,python,python/system_design/saga_pattern.py,unknown,unknown,,
load_balancer,uncategorized,python,python/system_design/load_balancer.py,unknown,unknown,,
auction_system,uncategorized,python,python/system_design/auction_system.py,unknown,unknown,,
decorator_pattern,design-patterns,python,python/system_design/decorator_pattern.py,unknown,unknown,,
search_engine,sorting-searching,python,python/system_design/search_engine.py,unknown,unknown,,
time_series_db,uncategorized,python,python/system_design/time_series_db.py,unknown,unknown,,
url_shortener,uncategorized,python,python/system_design/url_shortener.py,unknown,unknown,,
distributed_transaction,design-patterns,python,python/system_design/distributed_transaction.py,unknown,unknown,,
video_streaming,uncategorized,python,python/system_design/video_streaming.py,unknown,unknown,,
pub_sub_system,uncategorized,python,python/system_design/pub_sub_system.py,unknown,unknown,,
thread_pool,uncategorized,python,python/system_design/thread_pool.py,unknown,unknown,,
wallet_system,uncategorized,python,python/system_design/wallet_system.py,unknown,unknown,,
database_sharding,uncategorized,python,python/system_design/database_sharding.py,unknown,unknown,,
notifications,uncategorized,python,python/system_design/notifications.py,unknown,unknown,,
chat_system,uncategorized,python,python/system_design/chat_system.py,unknown,unknown,,
rate_limiter,uncategorized,python,python/system_design/rate_limiter.py,unknown,unknown,,
consensus_algorithm,uncategorized,python,python/system_design/consensus_algorithm.py,unknown,unknown,,
payment_system,uncategorized,python,python/system_design/payment_system.py,unknown,unknown,,
log_aggregation,uncategorized,python,python/system_design/log_aggregation.py,unknown,unknown,,
news_feed,uncategorized,python,python/system_design/news_feed.py,unknown,unknown,,
